Designator,Mid X,Mid Y,Layer,Rotation
LED1,56.1800mm,-5.5000mm,Top,0.0
LED2,47.1400mm,-16.2400mm,Top,0.0
LED3,43.6200mm,-16.7800mm,Top,180.0
LED4,46.6800mm,-19.5200mm,Top,180.0
LED5,49.3800mm,-21.4800mm,Top,180.0
LED6,51.3600mm,-24.1200mm,Top,180.0
LED7,60.8400mm,-28.7400mm,Top,180.0
LED8,64.8800mm,-35.4600mm,Top,180.0
LED9,68.0600mm,-37.5000mm,Top,180.0
LED10,72.5200mm,-40.3200mm,Top,180.0
LED11,78.5000mm,-44.4400mm,Top,180.0
LED12,81.3000mm,-46.3600mm,Top,180.0
LED13,86.1600mm,-49.1400mm,Top,180.0
LED14,95.3600mm,-52.9600mm,Top,180.0
LED15,98.5600mm,-58.8000mm,Top,180.0
LED16,109.7400mm,-58.3800mm,Top,180.0
LED17,112.3400mm,-56.2800mm,Top,180.0
LED18,122.1600mm,-56.6800mm,Top,180.0
LED19,129.5800mm,-59.2400mm,Top,180.0
LED20,130.4400mm,-63.8800mm,Top,180.0
LED21,131.4200mm,-67.1200mm,Top,180.0
LED22,134.8200mm,-69.1200mm,Top,180.0
LED23,145.2400mm,-75.1800mm,Top,180.0
LED24,152.4600mm,-79.4600mm,Top,180.0
LED25,157.3000mm,-82.3600mm,Top,180.0
LED26,172.8600mm,-92.9600mm,Top,180.0
LED27,178.2000mm,-96.6600mm,Top,180.0
LED28,183.6600mm,-100.3600mm,Top,180.0
LED29,190.0400mm,-104.1200mm,Top,180.0
LED30,117.3200mm,-46.9600mm,Top,0.0
LED31,119.4400mm,-42.8600mm,Top,0.0
LED32,115.0000mm,-35.4600mm,Top,0.0
LED33,108.3000mm,-33.0600mm,Top,0.0
LED34,117.2000mm,-29.2400mm,Top,180.0
LED35,131.1800mm,-21.2400mm,Top,180.0
LED36,136.7800mm,-21.6200mm,Top,180.0
LED37,144.8200mm,-23.1200mm,Top,180.0
LED38,147.1600mm,-20.7800mm,Top,0.0
LED39,148.1200mm,-17.6200mm,Top,0.0
LED40,101.7200mm,-32.4800mm,Top,0.0
LED41,93.8800mm,-30.2800mm,Top,0.0
LED42,88.1600mm,-27.6000mm,Top,0.0
LED43,82.0000mm,-26.8000mm,Top,0.0
LED44,78.3000mm,-27.4800mm,Top,0.0
LED45,72.1000mm,-29.5400mm,Top,0.0
LED46,68.2600mm,-30.4000mm,Top,0.0
LED47,57.9200mm,-27.1600mm,Top,0.0
LED48,54.7000mm,-26.3000mm,Top,0.0
LED49,50.7000mm,-28.2600mm,Top,0.0
LED50,46.6200mm,-29.3200mm,Top,0.0
LED51,42.4800mm,-28.3400mm,Top,0.0
LED52,38.8400mm,-28.1600mm,Top,0.0
LED53,34.1800mm,-28.0600mm,Top,0.0
LED54,43.4200mm,-20.0800mm,Top,180.0
LED55,44.0800mm,-23.3400mm,Top,180.0
LED56,46.0000mm,-26.0400mm,Top,180.0
LED57,46.0200mm,-35.1200mm,Top,180.0
LED58,45.8000mm,-42.8200mm,Top,180.0
LED59,45.9600mm,-46.1600mm,Top,180.0
LED60,45.6800mm,-54.1400mm,Top,180.0
LED61,42.8600mm,-60.9400mm,Top,0.0
LED62,36.3800mm,-60.4200mm,Top,0.0
LED63,32.7600mm,-62.1800mm,Top,0.0
LED64,26.3400mm,-61.5800mm,Top,0.0
LED65,41.1000mm,-63.8600mm,Top,180.0
LED66,39.4800mm,-66.7400mm,Top,180.0
LED67,39.5400mm,-71.0800mm,Top,180.0
LED68,39.6000mm,-74.3800mm,Top,180.0
ROW0,56.3000mm,-2.2000mm,Top,90.0
ROW1,76.3000mm,-45.4000mm,Top,90.0
ROW2,128.7000mm,-66.2800mm,Top,90.0
ROW3,121.8000mm,-45.2000mm,Top,180.0
ROW4,99.4000mm,-30.4200mm,Top,-90.0
ROW5,43.5200mm,-30.7000mm,Top,0.0
ROW6,43.4000mm,-52.9000mm,Top,-90.0
ROW7,38.8000mm,-77.2800mm,Top,90.0
