Ref,Val,Package,PosX,PosY,Rot,Side
"+5V1","TestPoint","TestPoint_Pad_3.0x3.0mm",44.200000,-79.100000,0.000000,bottom
"+5V2","TestPoint","TestPoint_Pad_3.0x3.0mm",131.100000,-60.000000,0.000000,bottom
"GND1","TestPoint","TestPoint_Pad_3.0x3.0mm",131.100000,-53.800000,0.000000,bottom
"LED_IN1","TestPoint","TestPoint_Pad_3.0x3.0mm",131.000000,-46.800000,0.000000,bottom
"LED_OUT1","TestPoint","TestPoint_Pad_3.0x3.0mm",44.200000,-86.000000,0.000000,bottom
"U1","XIAO-RP2040-DIP","XIAO-RP2040-SMD",100.000000,-54.500000,0.000000,bottom
"H1","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad_TopBottom",4.000000,-4.000000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad_TopBottom",4.000000,-105.000000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad_TopBottom",196.000000,-105.000000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad_TopBottom",196.000000,-4.000000,0.000000,top
"LED1","XL-1615RGBC-WS2812B","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1",56.180000,-5.500000,0.000000,top
"LED2","XL-1615RGBC-WS2812B","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1",47.140000,-16.240000,0.000000,top
"LED3","XL-1615RGBC-WS2812B","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1",43.620000,-16.780000,180.000000,top
"LED4","XL-1615RGBC-WS2812B","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1",46.680000,-19.520000,180.000000,top
"LED5","XL-1615RGBC-WS2812B","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1",49.380000,-21.480000,180.000000,top
"LED6","XL-1615RGBC-WS2812B","LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B-1",51.360000,-24.120000,180.000000,top
