Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF,25V,X5R ","C_0402_1005Metric",239.250000,-189.500000,180.000000,top
"C2","1uF,25V,X5R ","C_0402_1005Metric",285.500000,-190.510000,-90.000000,top
"C3","10uF,10V,X5R ","C_0603_1608Metric",246.500000,-185.037500,-90.000000,top
"C4","1uF,25V,X5R ","C_0402_1005Metric",301.765000,-174.600000,0.000000,top
"C5","1uF,25V,X5R ","C_0402_1005Metric",117.000000,-31.000000,-45.000000,top
"C6","1uF,25V,X5R ","C_0402_1005Metric",257.500000,-122.250000,45.000000,top
"C7","1uF,25V,X5R ","C_0402_1005Metric",238.750000,-117.500000,-45.000000,top
"C8","1uF,25V,X5R ","C_0402_1005Metric",241.250000,-120.000000,135.000000,top
"C9","1uF,25V,X5R ","C_0402_1005Metric",233.750000,-127.500000,135.000000,top
"C10","1uF,25V,X5R ","C_0402_1005Metric",218.250000,-138.235000,90.000000,top
"C11","1uF,25V,X5R ","C_0402_1005Metric",205.750000,-134.750000,-90.000000,top
"C12","1uF,25V,X5R ","C_0402_1005Metric",193.500000,-134.750000,-90.000000,top
"C13","1uF,25V,X5R ","C_0402_1005Metric",184.750000,-132.750000,-135.000000,top
"C14","1uF,25V,X5R ","C_0402_1005Metric",174.250000,-127.250000,45.000000,top
"C15","1uF,25V,X5R ","C_0402_1005Metric",159.250000,-112.500000,45.000000,top
"C16","1uF,25V,X5R ","C_0402_1005Metric",151.750000,-105.000000,45.000000,top
"C17","1uF,25V,X5R ","C_0402_1005Metric",154.250000,-102.250000,-135.000000,top
"C18","1uF,25V,X5R ","C_0402_1005Metric",142.075000,-95.350000,45.000000,top
"C19","1uF,25V,X5R ","C_0402_1005Metric",138.575000,-91.850000,45.000000,top
"C20","1uF,25V,X5R ","C_0402_1005Metric",141.075000,-89.100000,-135.000000,top
"C21","1uF,25V,X5R ","C_0402_1005Metric",144.825000,-92.600000,-135.000000,top
"C22","1uF,25V,X5R ","C_0402_1005Metric",121.000000,-86.750000,90.000000,top
"C23","1uF,25V,X5R ","C_0402_1005Metric",114.500000,-77.750000,-135.000000,top
"C24","1uF,25V,X5R ","C_0402_1005Metric",104.500000,-67.750000,-135.000000,top
"C25","1uF,25V,X5R ","C_0402_1005Metric",96.250000,-59.500000,-135.000000,top
"C26","1uF,25V,X5R ","C_0402_1005Metric",89.000000,-47.000000,-45.000000,top
"C27","1uF,25V,X5R ","C_0402_1005Metric",95.426041,-47.573959,-45.000000,top
"C28","1uF,25V,X5R ","C_0402_1005Metric",97.926041,-50.073959,135.000000,top
"C29","1uF,25V,X5R ","C_0402_1005Metric",101.476041,-46.673959,135.000000,top
"C30","1uF,25V,X5R ","C_0402_1005Metric",250.250000,-177.230000,0.000000,top
"C31","1uF,25V,X5R ","C_0402_1005Metric",98.750000,-44.173959,-45.000000,top
"C32","1uF,25V,X5R ","C_0402_1005Metric",248.750000,-112.500000,135.000000,top
"C33","1uF,25V,X5R ","C_0402_1005Metric",246.250000,-110.000000,-45.000000,top
"C34","1uF,25V,X5R ","C_0402_1005Metric",86.500000,-62.250000,135.000000,top
"C35","1uF,25V,X5R ","C_0402_1005Metric",103.750000,-86.500000,180.000000,top
"C36","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-86.500000,0.000000,top
"C37","1uF,25V,X5R ","C_0402_1005Metric",91.500000,-75.250000,45.000000,top
"C38","1uF,25V,X5R ","C_0402_1005Metric",94.000000,-72.750000,-135.000000,top
"C39","1uF,25V,X5R ","C_0402_1005Metric",84.000000,-59.750000,-45.000000,top
"C40","1uF,25V,X5R ","C_0402_1005Metric",74.000000,-94.250000,90.000000,top
"C41","1uF,25V,X5R ","C_0402_1005Metric",74.000000,-90.750000,-90.000000,top
"C42","1uF,25V,X5R ","C_0402_1005Metric",83.500000,-90.750000,-90.000000,top
"C43","1uF,25V,X5R ","C_0402_1005Metric",83.500000,-94.250000,90.000000,top
"C44","1uF,25V,X5R ","C_0402_1005Metric",93.500000,-90.750000,-90.000000,top
"C45","1uF,25V,X5R ","C_0402_1005Metric",93.500000,-94.250000,90.000000,top
"C46","1uF,25V,X5R ","C_0402_1005Metric",261.750000,-133.250000,180.000000,top
"C47","1uF,25V,X5R ","C_0402_1005Metric",258.000000,-133.250000,0.000000,top
"C48","1uF,25V,X5R ","C_0402_1005Metric",260.250000,-119.750000,-135.000000,top
"C49","1uF,25V,X5R ","C_0402_1005Metric",231.250000,-125.000000,-45.000000,top
"C50","1uF,25V,X5R ","C_0402_1005Metric",157.000000,-90.800000,-90.000000,top
"C51","1uF,25V,X5R ","C_0402_1005Metric",157.000000,-94.050000,90.000000,top
"C52","1uF,25V,X5R ","C_0402_1005Metric",162.000000,-109.750000,-135.000000,top
"C53","1uF,25V,X5R ","C_0402_1005Metric",166.750000,-120.000000,45.000000,top
"C54","1uF,25V,X5R ","C_0402_1005Metric",169.500000,-117.250000,-135.000000,top
"C55","1uF,25V,X5R ","C_0402_1005Metric",250.250000,-174.750000,0.000000,top
"C56","1uF,25V,X5R ","C_0402_1005Metric",176.750000,-124.750000,-135.000000,top
"C57","1uF,25V,X5R ","C_0402_1005Metric",182.250000,-135.250000,45.000000,top
"C58","1uF,25V,X5R ","C_0402_1005Metric",193.500000,-138.235000,90.000000,top
"C59","1uF,25V,X5R ","C_0402_1005Metric",205.750000,-138.250000,90.000000,top
"C60","1uF,25V,X5R ","C_0402_1005Metric",218.250000,-134.750000,-90.000000,top
"C61","1uF,25V,X5R ","C_0402_1005Metric",98.500000,-90.500000,-90.000000,top
"C62","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-94.000000,90.000000,top
"C63","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-90.485000,-90.000000,top
"C64","1uF,25V,X5R ","C_0402_1005Metric",113.250000,-94.250000,90.000000,top
"C65","1uF,25V,X5R ","C_0402_1005Metric",113.250000,-90.750000,-90.000000,top
"C66","1uF,25V,X5R ","C_0402_1005Metric",91.500000,-49.500000,135.000000,top
"C67","1uF,25V,X5R ","C_0402_1005Metric",93.750000,-62.000000,45.000000,top
"C68","1uF,25V,X5R ","C_0402_1005Metric",102.250000,-70.250000,45.000000,top
"C69","1uF,25V,X5R ","C_0402_1005Metric",112.000000,-80.250000,45.000000,top
"C70","1uF,25V,X5R ","C_0402_1005Metric",121.000000,-83.500000,-90.000000,top
"C71","1uF,25V,X5R ","C_0402_1005Metric",132.750000,-83.500000,-90.000000,top
"C72","1uF,25V,X5R ","C_0402_1005Metric",132.750000,-86.735000,90.000000,top
"C73","1uF,25V,X5R ","C_0402_1005Metric",170.250000,-90.750000,-90.000000,top
"C74","1uF,25V,X5R ","C_0402_1005Metric",170.250000,-94.000000,90.000000,top
"C75","1uF,25V,X5R ","C_0402_1005Metric",98.500000,-94.000000,90.000000,top
"C76","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-103.250000,0.000000,top
"C77","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-103.250000,180.000000,top
"C78","1uF,25V,X5R ","C_0402_1005Metric",100.235000,-116.000000,0.000000,top
"C79","1uF,25V,X5R ","C_0402_1005Metric",250.250000,-171.000000,0.000000,top
"C80","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-116.000000,180.000000,top
"C81","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-131.000000,0.000000,top
"C82","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-131.000000,180.000000,top
"C83","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-141.000000,180.000000,top
"C84","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-141.000000,0.000000,top
"C85","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-153.250000,0.000000,top
"C86","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-153.250000,180.000000,top
"C87","1uF,25V,X5R ","C_0402_1005Metric",100.235000,-163.500000,0.000000,top
"C88","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-163.500000,180.000000,top
"C89","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-173.500000,180.000000,top
"C90","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-173.500000,0.000000,top
"C91","1uF,25V,X5R ","C_0402_1005Metric",100.250000,-183.750000,0.000000,top
"C92","1uF,25V,X5R ","C_0402_1005Metric",103.500000,-183.750000,180.000000,top
"C93","1uF,25V,X5R ","C_0402_1005Metric",83.750000,-161.750000,90.000000,top
"C94","1uF,25V,X5R ","C_0402_1005Metric",83.750000,-158.500000,-90.000000,top
"C95","1uF,25V,X5R ","C_0402_1005Metric",73.750000,-161.750000,90.000000,top
"C96","1uF,25V,X5R ","C_0402_1005Metric",73.750000,-158.500000,-90.000000,top
"C97","1uF,25V,X5R ","C_0402_1005Metric",63.500000,-161.750000,90.000000,top
"C98","1uF,25V,X5R ","C_0402_1005Metric",63.500000,-158.500000,-90.000000,top
"C99","1uF,25V,X5R ","C_0402_1005Metric",205.750000,-94.250000,90.000000,top
"C100","1uF,25V,X5R ","C_0402_1005Metric",193.500000,-90.860000,-90.000000,top
"C101","1uF,25V,X5R ","C_0402_1005Metric",193.500000,-93.875000,90.000000,top
"C102","1uF,25V,X5R ","C_0402_1005Metric",183.750000,-90.750000,-90.000000,top
"C103","1uF,25V,X5R ","C_0402_1005Metric",250.250000,-172.250000,0.000000,top
"C104","1uF,25V,X5R ","C_0402_1005Metric",183.750000,-94.000000,90.000000,top
"C105","1uF,25V,X5R ","C_0402_1005Metric",271.750000,-60.500000,-90.000000,top
"C106","1uF,25V,X5R ","C_0402_1005Metric",253.250000,-94.500000,90.000000,top
"C107","1uF,25V,X5R ","C_0402_1005Metric",248.250000,-94.500000,90.000000,top
"C108","1uF,25V,X5R ","C_0402_1005Metric",248.250000,-91.015000,-90.000000,top
"C109","1uF,25V,X5R ","C_0402_1005Metric",253.250000,-91.000000,-90.000000,top
"C110","1uF,25V,X5R ","C_0402_1005Metric",243.500000,-94.265000,90.000000,top
"C111","1uF,25V,X5R ","C_0402_1005Metric",243.500000,-91.000000,-90.000000,top
"C112","1uF,25V,X5R ","C_0402_1005Metric",238.750000,-91.000000,-90.000000,top
"C113","1uF,25V,X5R ","C_0402_1005Metric",238.750000,-94.315000,90.000000,top
"C114","1uF,25V,X5R ","C_0402_1005Metric",230.750000,-91.000000,-90.000000,top
"C115","1uF,25V,X5R ","C_0402_1005Metric",230.750000,-94.250000,90.000000,top
"C116","1uF,25V,X5R ","C_0402_1005Metric",218.250000,-91.000000,-90.000000,top
"C117","1uF,25V,X5R ","C_0402_1005Metric",218.250000,-94.250000,90.000000,top
"C118","1uF,25V,X5R ","C_0402_1005Metric",205.750000,-90.875000,-90.000000,top
"C119","1uF,25V,X5R ","C_0402_1005Metric",261.500000,-71.750000,180.000000,top
"C120","1uF,25V,X5R ","C_0402_1005Metric",250.250000,-173.500000,0.000000,top
"C121","1uF,25V,X5R ","C_0402_1005Metric",258.250000,-71.750000,0.000000,top
"C122","1uF,25V,X5R ","C_0402_1005Metric",256.250000,-105.000000,135.000000,top
"C123","1uF,25V,X5R ","C_0402_1005Metric",250.250000,-176.000000,0.000000,top
"C124","1uF,25V,X5R ","C_0402_1005Metric",271.750000,-64.000000,90.000000,top
"C125","1uF,25V,X5R ","C_0402_1005Metric",283.250000,-60.500000,-90.000000,top
"C126","1uF,25V,X5R ","C_0402_1005Metric",283.250000,-64.000000,90.000000,top
"C127","1uF,25V,X5R ","C_0402_1005Metric",298.000000,-63.750000,135.000000,top
