Designator,Mid X,Mid Y,Rotation,Layer
C1,239.25,-189.5,180.0,top
C10,218.25,-138.235,90.0,top
C100,193.5,-90.86,270.0,top
C101,193.5,-93.875,90.0,top
C102,183.75,-90.75,270.0,top
C103,250.25,-172.25,0.0,top
C104,183.75,-94.0,90.0,top
C105,271.75,-60.5,270.0,top
C106,253.25,-94.5,90.0,top
C107,248.25,-94.5,90.0,top
C108,248.25,-91.015,270.0,top
C109,253.25,-91.0,270.0,top
C11,205.75,-134.75,270.0,top
C110,243.5,-94.265,90.0,top
C111,243.5,-91.0,270.0,top
C112,238.75,-91.0,270.0,top
C113,238.75,-94.315,90.0,top
C114,230.75,-91.0,270.0,top
C115,230.75,-94.25,90.0,top
C116,218.25,-91.0,270.0,top
C117,218.25,-94.25,90.0,top
C118,205.75,-90.875,270.0,top
C119,261.5,-71.75,180.0,top
C12,193.5,-134.75,270.0,top
C120,250.25,-173.5,0.0,top
C121,258.25,-71.75,0.0,top
C122,256.25,-105.0,135.0,top
C123,250.25,-176.0,0.0,top
C124,271.75,-64.0,90.0,top
C125,283.25,-60.5,270.0,top
C126,283.25,-64.0,90.0,top
C127,298.0,-63.75,135.0,top
C128,295.25,-61.25,315.0,top
C129,296.5,-54.0,0.0,top
C13,184.75,-132.75,225.0,top
C130,300.0,-54.0,180.0,top
C131,296.5,-45.0,0.0,top
C132,300.0,-45.0,180.0,top
C133,253.75,-102.5,315.0,top
C134,258.0,-144.25,0.0,top
C135,261.75,-144.25,180.0,top
C136,258.0,-155.25,0.0,top
C138,261.75,-155.25,180.0,top
C14,174.25,-127.25,45.0,top
C15,159.25,-112.5,45.0,top
C16,151.75,-105.0,45.0,top
C17,154.25,-102.25,225.0,top
C18,142.075,-95.35,45.0,top
C19,138.575,-91.85,45.0,top
C2,285.5,-190.51,270.0,top
C20,141.075,-89.1,225.0,top
C21,144.825,-92.6,225.0,top
C22,121.0,-86.75,90.0,top
C23,114.5,-77.75,225.0,top
C24,104.5,-67.75,225.0,top
C25,96.25,-59.5,225.0,top
C26,89.0,-47.0,315.0,top
C27,95.426041,-47.573959,315.0,top
C28,97.926041,-50.073959,135.0,top
C29,101.476041,-46.673959,135.0,top
C3,246.5,-185.0375,270.0,top
C30,250.25,-177.23,0.0,top
C31,98.75,-44.173959,315.0,top
C32,248.75,-112.5,135.0,top
C33,246.25,-110.0,315.0,top
C34,86.5,-62.25,135.0,top
C35,103.75,-86.5,180.0,top
C36,100.25,-86.5,0.0,top
C37,91.5,-75.25,45.0,top
C38,94.0,-72.75,225.0,top
C39,84.0,-59.75,315.0,top
C4,301.765,-174.6,0.0,top
C40,74.0,-94.25,90.0,top
C41,74.0,-90.75,270.0,top
C42,83.5,-90.75,270.0,top
C43,83.5,-94.25,90.0,top
C44,93.5,-90.75,270.0,top
C45,93.5,-94.25,90.0,top
C46,261.75,-133.25,180.0,top
C47,258.0,-133.25,0.0,top
C48,260.25,-119.75,225.0,top
C49,231.25,-125.0,315.0,top
C5,117.0,-31.0,315.0,top
C50,157.0,-90.8,270.0,top
C51,157.0,-94.05,90.0,top
C52,162.0,-109.75,225.0,top
C53,166.75,-120.0,45.0,top
C54,169.5,-117.25,225.0,top
C55,250.25,-174.75,0.0,top
C56,176.75,-124.75,225.0,top
C57,182.25,-135.25,45.0,top
C58,193.5,-138.235,90.0,top
C59,205.75,-138.25,90.0,top
C6,257.5,-122.25,45.0,top
C60,218.25,-134.75,270.0,top
C61,98.5,-90.5,270.0,top
C62,103.5,-94.0,90.0,top
C63,103.5,-90.485,270.0,top
C64,113.25,-94.25,90.0,top
C65,113.25,-90.75,270.0,top
C66,91.5,-49.5,135.0,top
C67,93.75,-62.0,45.0,top
C68,102.25,-70.25,45.0,top
C69,112.0,-80.25,45.0,top
C7,238.75,-117.5,315.0,top
C70,121.0,-83.5,270.0,top
C71,132.75,-83.5,270.0,top
C72,132.75,-86.735,90.0,top
C73,170.25,-90.75,270.0,top
C74,170.25,-94.0,90.0,top
C75,98.5,-94.0,90.0,top
C76,100.25,-103.25,0.0,top
C77,103.5,-103.25,180.0,top
C78,100.235,-116.0,0.0,top
C79,250.25,-171.0,0.0,top
C8,241.25,-120.0,135.0,top
C80,103.5,-116.0,180.0,top
C81,100.25,-131.0,0.0,top
C82,103.5,-131.0,180.0,top
C83,103.5,-141.0,180.0,top
C84,100.25,-141.0,0.0,top
C85,100.25,-153.25,0.0,top
C86,103.5,-153.25,180.0,top
C87,100.235,-163.5,0.0,top
C88,103.5,-163.5,180.0,top
C89,103.5,-173.5,180.0,top
C9,233.75,-127.5,135.0,top
C90,100.25,-173.5,0.0,top
C91,100.25,-183.75,0.0,top
C92,103.5,-183.75,180.0,top
C93,83.75,-161.75,90.0,top
C94,83.75,-158.5,270.0,top
C95,73.75,-161.75,90.0,top
C96,73.75,-158.5,270.0,top
C97,63.5,-161.75,90.0,top
C98,63.5,-158.5,270.0,top
C99,205.75,-94.25,90.0,top
D1,280.5375,-171.0,180.0,top
J1,308.75,-154.025,0.0,top
J2,272.37,-164.44,0.0,top
J2_POWER_IN1,238.6125,-194.6425,180.0,top
J3,276.92,-164.53,0.0,top
J3_PROGRAMING_PIN1,308.75,-171.0,0.0,top
J4,257.16,-176.805,0.0,top
LED1,260.8,-153.575,270.0,top
LED10,182.976041,-132.3,315.0,top
LED100,102.675,-132.725,0.0,top
LED101,102.825,-117.525,0.0,top
LED102,102.825,-104.9,0.0,top
LED103,100.175,-91.425,90.0,top
LED104,102.9,-85.05,270.0,top
LED105,92.123959,-72.175,315.0,top
LED106,87.1,-60.376041,225.0,top
LED107,98.475,-48.423959,225.0,top
LED108,97.226041,-47.148959,135.0,top
LED109,85.848959,-59.125,135.0,top
LED11,174.975,-124.223959,315.0,top
LED110,90.848959,-73.4,225.0,top
LED111,101.125,-85.025,180.0,top
LED112,100.15,-93.25,180.0,top
LED113,101.05,-104.875,90.0,top
LED114,101.075,-117.5,90.0,top
LED115,100.925,-132.7,90.0,top
LED116,101.05,-142.45,90.0,top
LED117,101.0,-154.75,90.0,top
LED118,82.1,-159.325,0.0,top
LED119,72.125,-159.275,0.0,top
LED12,167.525,-116.873959,315.0,top
LED120,62.1,-159.325,0.0,top
LED121,62.075,-161.175,270.0,top
LED122,72.15,-161.0,270.0,top
LED123,82.1,-161.075,270.0,top
LED124,101.0,-165.075,90.0,top
LED125,101.075,-175.2,90.0,top
LED126,101.2,-185.25,90.0,top
LED127,116.75,-32.75,225.0,top
LED13,159.95,-109.348959,315.0,top
LED14,152.476041,-101.776041,315.0,top
LED15,142.851041,-92.248959,315.0,top
LED16,112.723959,-77.25,315.0,top
LED17,102.75,-67.198959,315.0,top
LED18,94.425,-59.148959,315.0,top
LED19,92.051041,-47.75,225.0,top
LED2,260.75,-142.625,270.0,top
LED20,99.752082,-47.148959,315.0,top
LED21,98.5,-45.898959,45.0,top
LED22,90.773959,-46.5,135.0,top
LED23,93.123959,-60.35,225.0,top
LED24,101.498959,-68.45,225.0,top
LED25,111.473959,-78.5,225.0,top
LED26,141.601041,-93.5,225.0,top
LED27,151.225,-103.026041,225.0,top
LED28,158.725,-110.575,225.0,top
LED29,166.275,-118.125,225.0,top
LED3,260.775,-131.575,270.0,top
LED30,173.725,-125.475,225.0,top
LED31,181.726041,-133.551041,225.0,top
LED32,191.825,-137.375,270.0,top
LED33,204.125,-137.425,270.0,top
LED34,216.55,-137.375,270.0,top
LED35,231.977082,-128.048959,315.0,top
LED36,239.55,-120.673959,315.0,top
LED37,246.925,-113.148959,315.0,top
LED38,254.625,-105.351041,315.0,top
LED39,251.625,-91.825,0.0,top
LED4,258.275,-119.298959,315.0,top
LED40,242.025,-91.665,0.0,top
LED41,242.025,-93.44,270.0,top
LED42,251.625,-93.625,270.0,top
LED43,253.373959,-104.1,45.0,top
LED44,245.673959,-111.925,45.0,top
